country_id|country_code|institution_id|institution|department_id|department|author|contrib_title|doc_type|doc_date|event_name|all_authors|authors|disciplines|skillsExpertise|author_url|contrib_url
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|A Nonequilibrium-Potential Approach to Competition in Neural Populations|Article|January 2019|Frontiers in Physics|false|[ Roberto Raúl Deza#Juan Ignacio Deza#Nataniel Martinez#Horacio S. Wio ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/330288539_A_Nonequilibrium-Potential_Approach_to_Competition_in_Neural_Populations?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|qNoise: A generator of non-Gaussian colored noise|Preprint|November 2018||true|[ Juan Ignacio Deza#Roberto Raúl Deza ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/329771885_qNoise_A_generator_of_non-Gaussian_colored_noise?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|A nonequilibrium-potential approach to competition in neural populations|Preprint|August 2018||false|[ Roberto Raúl Deza#Juan Ignacio Deza#Nataniel Martinez#Horacio S. Wio ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/327199927_A_nonequilibrium-potential_approach_to_competition_in_neural_populations?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|Large-Scale Atmospheric Phenomena Under the Lens of Ordinal Time-Series Analysis and Information Theory Measures|Chapter|January 2018||true|[ Juan Ignacio Deza#Giulio Tirabassi#Marcelo Barreiro#Cristina Masoller ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/320333892_Large-Scale_Atmospheric_Phenomena_Under_the_Lens_of_Ordinal_Time-Series_Analysis_and_Information_Theory_Measures?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|The Construction of Complex Networks from Linear and Nonlinear Measures – Climate Networks|Article|December 2015|Procedia Computer Science|true|[ Juan Ignacio Deza#Hisham Ihshaish ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/277604494_The_Construction_of_Complex_Networks_from_Linear_and_Nonlinear_Measures_-_Climate_Networks?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|Piezoelectric energy harvesting from colored fat-tailed fluctuations: An electronic analogy|Article|September 2015||true|[ J I Peña Rosselló#Roberto Raúl Deza#Juan Ignacio Deza#Horacio S. Wio ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/282329406_Piezoelectric_energy_harvesting_from_colored_fat-tailed_fluctuations_An_electronic_analogy?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|Assessing the direction of climate interactions by means of complex networks and information theoretic tools|Article|March 2015|Chaos|true|[ Juan Ignacio Deza ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/273761243_Assessing_the_direction_of_climate_interactions_by_means_of_complex_networks_and_information_theoretic_tools?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|Assessing the direction of climate interactions by means of complex networks and information theoretic tools|Article|February 2015||true|[ Juan Ignacio Deza#Cristina Masoller#Marcelo Barreiro ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/271855351_Assessing_the_direction_of_climate_interactions_by_means_of_complex_networks_and_information_theoretic_tools?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|SUPRAGAUSSIAN-FLUCTUACTION ENERGY HARVESTING BY PIEZOELECTRIC METHOD, THROUGH MONOSTABLE SQUAREWELL-LIKE OSCILLATORS: AN ELECTRONIC ANALOGY|Article|August 2014||true|[ J.I. Peña Rosselló#Juan Ignacio Deza#Horacio S. Wio#Roberto Raúl Deza ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/329022342_SUPRAGAUSSIAN-FLUCTUACTION_ENERGY_HARVESTING_BY_PIEZOELECTRIC_METHOD_THROUGH_MONOSTABLE_SQUAREWELL-LIKE_OSCILLATORS_AN_ELECTRONIC_ANALOGY?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
3|AR|234|Universidad Atlantida Argentina|5|Faculty of Engineering|Juan Ignacio Deza|Constructing climate networks: variability types, time scales and directionality|Conference Paper|March 2014|World Climate Research Programme|true|[ Juan Ignacio Deza ]|[ Paleoclimatology#Climatology#Probability Theory#Statistics#Geophysics#Experimental Physics#Computational Physics ]|[ Environment#Numerical Modeling#Climate Change#Mathematical Modelling#Python#Statistics#Geographic Information System#Applied Mathematics#Stochastic Processes#Climate Variability ]|https://www.researchgate.net/profile/Juan_Ignacio_Deza|https://www.researchgate.net/publication/271019907_Constructing_climate_networks_variability_types_time_scales_and_directionality?_sg=tS3NoVwx_oleE5nhRhDhOgrtKnUOcmYUKGeEc32it6sBeBXRD8PpUL0EF7R8dQAfe202H4CKAEybWzIbYP3GFPmu2VZm7zGRaLo7kJR4.5jyPo5HvFH7m50PcEvHnPoy0g_SaozB-dhYQpADhX2hBPeoq58Whwo2lJw7NMQ7ccIpYo7DLH1k1iO1u-6eaEw
